Designator,Val,Package,MidX,MidY,Rotation,Layer
CBOOT1,0.1uF,C_0603_1608Metric,95.234055,-43.274,-90,top
CBOOT2,0.1uF,C_0603_1608Metric,95.123,-66.153,-90,top
CBOOT3,0.1uF,C_0603_1608Metric,95.25,-89.055,-90,top
CBOOT4,0.1uF,C_0603_1608Metric,53.3,-59.563,90,top
CBOOT5,0.1uF,C_0603_1608Metric,53.34,-36.924,90,top
CINa1,47uF,CP_Elec_6.3x5.8,79.629,-40.767,90,top
CINa2,47uF,CP_Elec_6.3x5.8,79.629,-63.659,90,top
CINa3,47uF,CP_Elec_6.3x5.8,79.756,-86.548,90,top
CINa4,47uF,CP_Elec_6.3x5.8,68.921,-62.07,-90,top
CINa5,47uF,CP_Elec_6.3x5.8,68.961,-39.337,-90,top
CINb1,4.7uF,C_1210_3225Metric,84.963,-40.861,90,top
CINb2,4.7uF,C_1210_3225Metric,84.963,-63.803,90,top
CINb3,4.7uF,C_1210_3225Metric,85.09,-86.564,90,top
CINb4,4.7uF,C_1210_3225Metric,63.627,-39.165,-90,top
CINb5,4.7uF,C_1210_3225Metric,63.587,-61.976,-90,top
CLED1,0.68uF,C_1210_3225Metric,117.602,-40.988,-90,top
CLED2,0.68uF,C_1210_3225Metric,117.582,-64.405,-90,top
CLED3,0.68uF,C_1210_3225Metric,117.566055,-87.072,-90,top
CLED4,0.68uF,C_1210_3225Metric,31.095,-61.341,90,top
CLED5,0.68uF,C_1210_3225Metric,31.115,-39.845,90,top
CVCC1,0.1uF,C_0603_1608Metric,95.234055,-46.436,90,top
CVCC2,0.1uF,C_0603_1608Metric,95.885,-69.534,0,top
CVCC3,0.1uF,C_0603_1608Metric,96.012,-92.357,0,top
CVCC4,0.1uF,C_0603_1608Metric,52.538,-56.134,180,top
CVCC5,0.1uF,C_0603_1608Metric,52.705,-33.368,180,top
D1,B250A-13-F,DIOM5226X230N,92.075,-37.432,180,top
D2,B250A-13-F,DIOM5226X230N,91.948,-60.263,180,top
D3,B250A-13-F,DIOM5226X230N,92.202,-83.086,180,top
D4,B250A-13-F,DIOM5226X230N,56.212,-65.532,0,top
D5,B250A-13-F,DIOM5226X230N,56.778,-42.766,0,top
IC1,A6211GLJTR-T,SOIC127P600X170-9N,90.490055,-44.671,0,top
IC2,A6211GLJTR-T,SOIC127P600X170-9N,90.506,-67.563,0,top
IC3,A6211GLJTR-T,SOIC127P600X170-9N,90.633,-90.452,0,top
IC4,A6211GLJTR-T,SOIC127P600X170-9N,57.999,-58.166,180,top
IC5,A6211GLJTR-T,SOIC127P600X170-9N,58.084,-35.4,180,top
J1,43650-0500,Molex_Micro-Fit_3.0_43650-0500_1x05_P3.00mm_Horizontal,55.18,-83.058,180,top
J2,43650-0212,"43650-02_12,13,14_",67.386,-83.43,0,top
J3,43650-0600,Molex_Micro-Fit_3.0_43650-0600_1x06_P3.00mm_Horizontal,37.721,-91.685,90,top
L1,SRR1210-680M,SRR1210,108.097,-37.432,-90,top
L2,SRR1210-680M,SRR1210,108.057,-60.263,-90,top
L3,SRR1210-680M,SRR1210,108.057,-83.086,-90,top
L4,SRR1210-680M,SRR1210,40.62,-65.532,90,top
L5,SRR1210-680M,SRR1210,40.64,-42.766,90,top
RSense1a1,0.6,R_1812_4532Metric,102.489,-46.7575,90,top
RSense1b1,0.6,R_1812_4532Metric,98.298,-46.703,90,top
RSense2a1,0.2,R_0805_2012Metric,98.552,-70.1455,90,top
RSense2b1,0.2,R_0805_2012Metric,100.711,-70.169,90,top
RSense3,0.2,R_0805_2012Metric,98.679,-92.865,90,top
RSense4a1,0.27,R_0805_2012Metric,49.871,-55.7295,-90,top
RSense4b1,0.27,R_0805_2012Metric,47.752,-55.6495,-90,top
RSense5a1,0.2,R_0805_2012Metric,47.879,-32.86,-90,top
RSense5b1,0.2,R_0805_2012Metric,50.038,-32.86,-90,top
RTON1,75k,R_0603_1608Metric,85.138055,-44.036,0,top
RTON2,75k,R_0603_1608Metric,85.154,-66.928,0,top
RTON3,75k,R_0603_1608Metric,85.281,-89.817,0,top
RTON4,75k,R_0603_1608Metric,63.46,-58.801,180,top
RTON5,75k,R_0603_1608Metric,63.5,-36.035,180,top
