	x [mm]	y [mm]	Mismatch 400-500 nm	Mismatch 500-600 nm	Mismatch 600-700 nm	Mismatch 700-800 nm	Mismatch 800-900 nm	Mismatch 900-1100 nm
0	0.0	0.0	0.007172	0.011258	0.017921	0.033772	0.304431	5.975199
1	10.0	0.0	0.006721	0.011025	0.018605	0.034908	0.320663	5.961396
2	20.0	0.0	-0.010921	-0.018744	-0.037058	-0.078026	0.184319	6.296504
3	30.0	0.0	0.006748	0.012007	0.02653	0.057021	0.418456	5.853361
4	40.0	0.0	0.006851	0.012973	0.030789	0.067468	0.488411	5.782318
5	50.0	0.0	0.009689	0.018847	0.048733	0.106953	0.51762	5.690951
6	60.0	0.0	-0.010033	-0.020553	-0.053522	-0.120074	0.173036	6.365068
7	70.0	0.0	-0.012434	-0.024283	-0.065049	-0.14877	0.057753	6.503376
8	80.0	0.0	0.006592	0.012951	0.034667	0.076568	0.31709	5.904315
9	0.0	10.0	0.010633	0.017871	0.033111	0.06577	0.352604	5.877482
10	10.0	10.0	0.004505	0.007497	0.014849	0.031035	0.323671	5.973987
11	20.0	10.0	-0.027894	-0.052246	-0.112669	-0.234839	-0.114226	6.827232
12	30.0	10.0	0.012995	0.027524	0.06269	0.122565	0.568648	5.605368
13	40.0	10.0	0.011827	0.025742	0.060679	0.12333	0.712677	5.497329
14	50.0	10.0	0.016897	0.036653	0.097545	0.208521	0.839856	5.255328
15	60.0	10.0	0.042407	0.093556	0.272301	0.580044	0.851921	4.594714
16	70.0	10.0	0.015583	0.034227	0.101749	0.217036	0.472362	5.53595
17	80.0	10.0	-0.012285	-0.026773	-0.075178	-0.158798	0.166834	6.441682
18	0.0	20.0	-0.031355	-0.05742	-0.11899	-0.25415	-0.198433	6.929325
19	10.0	20.0	-0.085469	-0.174643	-0.382236	-0.796254	-1.578869	9.036555
20	20.0	20.0	-0.023647	-0.052536	-0.107801	-0.191236	-0.356125	6.966357
21	30.0	20.0	0.006154	0.013647	0.025465	0.047147	1.971347	4.641655
22	40.0	20.0	0.05291	0.113656	0.210541	0.353068	2.442841	3.590851
23	50.0	20.0	0.026194	0.055341	0.108938	0.224123	2.4425	3.933433
24	60.0	20.0	0.004502	0.010354	0.025558	0.060307	0.457124	5.825674
25	70.0	20.0	-0.009304	-0.020956	-0.057597	-0.117255	0.161296	6.376032
26	80.0	20.0	0.011222	0.023565	0.046947	0.101729	0.465126	5.731504
27	0.0	30.0	0.009634	0.019433	0.044091	0.096046	0.445024	5.762948
28	10.0	30.0	-0.019012	-0.043441	-0.089247	-0.158221	0.018559	6.602638
29	20.0	30.0	0.089296	0.226	0.433241	0.647208	1.857476	3.334973
30	30.0	30.0	0.254056	0.686493	1.052119	0.705654	1.332845	2.209457
31	40.0	30.0	0.355395	0.973245	1.502684	1.005294	0.923926	1.252567
32	50.0	30.0	0.284533	0.612636	0.782306	0.547957	1.662604	2.467396
33	60.0	30.0	0.375239	0.943174	1.902885	3.189044	4.783775	-4.276766
34	70.0	30.0	0.004592	0.011458	0.022652	0.066019	0.3494	5.906888
35	80.0	30.0	-0.00494	-0.011272	-0.030016	-0.059957	0.191668	6.249373
36	0.0	40.0	-0.0141	-0.029872	-0.069299	-0.148773	0.189853	6.413367
37	10.0	40.0	0.012398	0.030093	0.056216	0.091376	0.391165	5.779093
38	20.0	40.0	0.322361	0.804937	1.392414	1.150772	0.989965	1.440807
39	30.0	40.0	0.405416	1.160498	1.939366	1.307923	0.373738	0.603919
40	40.0	40.0	0.322874	0.859909	1.30574	0.909998	0.920077	1.752287
41	50.0	40.0	0.340962	0.924188	1.270193	0.886812	1.23407	1.46692
42	60.0	40.0	0.350747	0.886048	1.25213	1.088719	0.618939	1.81862
43	70.0	40.0	-0.067504	-0.150151	-0.282363	-0.870952	-0.037518	7.727781
44	80.0	40.0	0.009887	0.026192	0.085667	0.175081	0.389059	5.676016
45	0.0	50.0	0.028825	0.060828	0.141692	0.306271	0.381064	5.429263
46	10.0	50.0	0.016412	0.039836	0.074767	0.1411	0.380784	5.702351
47	20.0	50.0	0.455758	1.286313	2.061845	1.429573	0.136964	0.318603
48	30.0	50.0	0.411911	1.077537	1.673297	1.162907	0.676982	0.905636
49	40.0	50.0	0.289072	0.760417	1.298101	1.440056	1.198795	1.208928
50	50.0	50.0	0.462904	1.231653	1.584348	1.146198	0.674664	0.774152
51	60.0	50.0	0.519068	1.411267	1.982229	1.548814	0.050278	0.137491
52	70.0	50.0	0.034416	0.083673	0.191069	0.356166	0.372271	5.297217
53	80.0	50.0	-0.033235	-0.080046	-0.237562	-0.470055	0.107856	7.058566
54	0.0	60.0	0.018482	0.036597	0.085614	0.190563	0.307936	5.702374
55	10.0	60.0	0.0168	0.037911	0.076082	0.14835	0.373279	5.701895
56	20.0	60.0	0.747499	2.219145	3.373636	2.994014	-0.03577	-4.034816
57	30.0	60.0	0.497632	1.380733	2.092178	1.465275	0.05545	0.147496
58	40.0	60.0	0.506067	1.372235	1.938072	1.415965	0.183198	0.272485
59	50.0	60.0	0.555329	1.480635	1.969579	1.459143	0.045921	0.110806
60	60.0	60.0	0.836348	1.731215	1.84236	1.495536	-0.002317	-0.376977
61	70.0	60.0	0.025416	0.049583	0.094312	0.195535	0.349018	5.631075
62	80.0	60.0	-0.029579	-0.069865	-0.219386	-0.435143	0.124229	6.974971
63	0.0	70.0	0.004229	0.007936	0.018045	0.03819	0.334342	5.954964
64	10.0	70.0	0.008261	0.01677	0.039833	0.087541	0.331613	5.869926
65	20.0	70.0	0.027424	0.06676	0.125439	0.251549	0.301353	5.556214
66	30.0	70.0	0.427587	0.914395	1.33326	1.454076	0.106237	1.661024
67	40.0	70.0	0.65305	1.524485	1.922767	1.478297	0.011567	0.006071
68	50.0	70.0	1.005511	1.655193	1.880999	1.993192	-0.026038	-0.970014
69	60.0	70.0	-0.641002	-1.438849	-2.861715	-4.383576	0.592719	15.785495
70	70.0	70.0	-0.016057	-0.038196	-0.104579	-0.207161	0.162409	6.543169
71	80.0	70.0	-0.018992	-0.043964	-0.134576	-0.277241	0.235091	6.59703
72	0.0	80.0	0.003182	0.005974	0.012491	0.026975	0.293601	6.007597
73	10.0	80.0	0.007163	0.014653	0.034009	0.064594	0.314721	5.91537
74	20.0	80.0	0.018382	0.037344	0.107546	0.221713	0.299149	5.653892
75	30.0	80.0	-0.050088	-0.1132	-0.246795	-0.476195	0.272256	7.006757
76	40.0	80.0	0.028032	0.058646	0.104671	0.200543	0.355361	5.595038
77	50.0	80.0	0.046007	0.105225	0.224867	0.433621	0.30883	5.195008
78	60.0	80.0	-0.059188	-0.136548	-0.350119	-0.689664	0.129057	7.4787
79	70.0	80.0	0.00765	0.017737	0.052748	0.103837	0.304409	5.860592
80	80.0	80.0	0.04321	0.097921	0.301866	0.616055	0.324385	4.93509
